,precision,recall,f1-score,support,acc
0,,,,,0.4918032786885246
1,,,,,0.14814814814814814
2,,,,,0.0425531914893617
3,,,,,0.6956521739130435
4,,,,,0.6
5,,,,,0.28846153846153844
6,,,,,0.0
7,,,,,0.0
8,,,,,0.8558139534883721
9,,,,,0.9821109123434705
10,,,,,0.0
11,,,,,0.0
12,,,,,0.3275862068965517
13,,,,,0.0
14,,,,,0.03571428571428571
15,,,,,0.15254237288135594
16,,,,,0.5762081784386617
17,,,,,0.8239700374531835
18,,,,,0.0
19,,,,,0.0
IfcAirTerminal,0.4444444444444444,0.14814814814814814,0.2222222222222222,108.0,
IfcBeam,0.07692307692307693,0.0425531914893617,0.0547945205479452,47.0,
IfcCableCarrierFitting,0.3404255319148936,0.6956521739130435,0.4571428571428571,69.0,
IfcCableCarrierSegment,0.574468085106383,0.6,0.5869565217391305,90.0,
IfcDoor,0.6943396226415094,0.8558139534883721,0.7666666666666667,215.0,
IfcDuctFitting,0.5,0.28846153846153844,0.36585365853658536,52.0,
IfcDuctSegment,0.30927835051546393,0.4918032786885246,0.379746835443038,61.0,
IfcFurniture,0.0,0.0,0.0,30.0,
IfcLamp,0.0,0.0,0.0,5.0,
IfcOutlet,0.0,0.0,0.0,11.0,
IfcPipeFitting,0.3,0.03571428571428571,0.06382978723404255,84.0,
IfcPipeSegment,0.6428571428571429,0.15254237288135594,0.2465753424657534,59.0,
IfcPlate,0.6623931623931624,0.5762081784386617,0.6163021868787276,269.0,
IfcRailing,0.5277777777777778,0.3275862068965517,0.40425531914893614,58.0,
IfcSanitaryTerminal,0.7006369426751592,0.8239700374531835,0.757314974182444,534.0,
IfcSlab,0.7176470588235294,0.9821109123434705,0.8293051359516616,559.0,
IfcSpaceHeater,0.0,0.0,0.0,25.0,
IfcStair,0.0,0.0,0.0,16.0,
IfcValve,0.0,0.0,0.0,36.0,
IfcWall,0.0,0.0,0.0,51.0,
accuracy,0.6406052963430012,0.6406052963430012,0.6406052963430012,0.6406052963430012,
macro avg,0.32455955980362716,0.30102821389582485,0.28754830140800053,2379.0,
weighted avg,0.5751089317867952,0.6406052963430012,0.5864212183391981,2379.0,
