,IfcDuctSegment,IfcAirTerminal,IfcBeam,IfcCableCarrierFitting,IfcCableCarrierSegment,IfcDuctFitting,IfcFurniture,IfcStair,IfcDoor,IfcSlab,IfcWall,IfcLamp,IfcRailing,IfcOutlet,IfcPipeFitting,IfcPipeSegment,IfcPlate,IfcSanitaryTerminal,IfcSpaceHeater,IfcValve
IfcDuctSegment,0.4918032786885246,0.0,0.0,0.16393442622950818,0.0,0.0,0.0,0.0,0.04918032786885246,0.14754098360655737,0.0,0.0,0.04918032786885246,0.0,0.0,0.03278688524590164,0.0,0.06557377049180328,0.0,0.0
IfcAirTerminal,0.08333333333333333,0.14814814814814814,0.0,0.14814814814814814,0.0,0.06481481481481481,0.0,0.0,0.009259259259259259,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.3425925925925926,0.0,0.0
IfcBeam,0.02127659574468085,0.0425531914893617,0.0425531914893617,0.0,0.2127659574468085,0.0,0.0,0.0,0.0425531914893617,0.2765957446808511,0.0,0.0,0.0,0.0,0.0,0.0,0.23404255319148937,0.1276595744680851,0.0,0.0
IfcCableCarrierFitting,0.014492753623188406,0.0,0.0,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.2318840579710145,0.0,0.0
IfcCableCarrierSegment,0.06666666666666667,0.0,0.0,0.011111111111111112,0.6,0.0,0.0,0.0,0.011111111111111112,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.022222222222222223,0.0,0.0
IfcDuctFitting,0.1346153846153846,0.09615384615384616,0.0,0.11538461538461539,0.0,0.28846153846153844,0.0,0.0,0.0,0.09615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2692307692307692,0.0,0.0
IfcFurniture,0.03333333333333333,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.03333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
IfcStair,0.0625,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.0
IfcDoor,0.0,0.0,0.0,0.004651162790697674,0.0,0.0,0.0,0.0,0.8558139534883721,0.0,0.0,0.0,0.009302325581395349,0.0,0.0,0.0,0.08372093023255814,0.046511627906976744,0.0,0.0
IfcSlab,0.007155635062611807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9821109123434705,0.0,0.0,0.0,0.0,0.0,0.0,0.0017889087656529517,0.008944543828264758,0.0,0.0
IfcWall,0.0392156862745098,0.0,0.0784313725490196,0.0196078431372549,0.0196078431372549,0.0,0.0,0.0,0.45098039215686275,0.0,0.0,0.0,0.13725490196078433,0.0,0.0,0.0196078431372549,0.21568627450980393,0.0196078431372549,0.0,0.0
IfcLamp,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IfcRailing,0.0,0.0,0.15517241379310345,0.05172413793103448,0.20689655172413793,0.0,0.0,0.0,0.13793103448275862,0.06896551724137931,0.0,0.0,0.3275862068965517,0.0,0.0,0.0,0.017241379310344827,0.034482758620689655,0.0,0.0
IfcOutlet,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.45454545454545453,0.0,0.0
IfcPipeFitting,0.07142857142857142,0.03571428571428571,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.4166666666666667,0.0,0.0
IfcPipeSegment,0.3728813559322034,0.0,0.0,0.1016949152542373,0.1016949152542373,0.0,0.0,0.0,0.0,0.1016949152542373,0.0,0.0,0.0,0.0,0.0,0.15254237288135594,0.15254237288135594,0.01694915254237288,0.0,0.0
IfcPlate,0.0,0.0037174721189591076,0.01858736059479554,0.0,0.01858736059479554,0.0,0.0,0.0,0.048327137546468404,0.31970260223048325,0.0,0.0,0.01486988847583643,0.0,0.0,0.0,0.5762081784386617,0.0,0.0,0.0
IfcSanitaryTerminal,0.009363295880149813,0.009363295880149813,0.0,0.013108614232209739,0.00749063670411985,0.0,0.0,0.0,0.0449438202247191,0.05056179775280899,0.0,0.003745318352059925,0.0,0.0018726591760299626,0.011235955056179775,0.0,0.024344569288389514,0.8239700374531835,0.0,0.0
IfcSpaceHeater,0.0,0.04,0.16,0.0,0.08,0.0,0.0,0.0,0.16,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.08,0.0,0.0
IfcValve,0.05555555555555555,0.027777777777777776,0.0,0.027777777777777776,0.0,0.1111111111111111,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.05555555555555555,0.6388888888888888,0.0,0.0
