Entity,Wall,Stair,Slab,FurnishingElement,Column,Flowterminal,FlowSegment,FlowFitting,FlowController,DistributionControlElement,Window,Door,IfcWallStandardCase_3_QnWjyCf43uOsOSqFjYHW
IfcColumn_1BCe$qRWvBBxFxdBTxgfFV,IfcWallStandardCase_0Tx$k7p_50Y9rIQWNISSu6,,,,,,,,,,,,
IfcColumn_1BCe$qRWvBBxFxdBTxgfFV,IfcWallStandardCase_0rG8__$RL7LxnC26Bzhv3c,,,,,,,,,,,,
IfcColumn_2CQePLrkXBO93z1TgFze3B,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_2CQePLrkXBO93z1TgFze3B,,,IfcSlab_22zqxcDqH5rx9gjXux81TQ,,,,,,,,,,
IfcColumn_2CQePLrkXBO93z1TgFze3B,,,IfcSlab_3EFhplJ99DThWXI3yN3_LX,,,,,,,,,,
IfcColumn_2CQePLrkXBO93z1TgFze3B,IfcWallStandardCase_2XTLze3XjDH8AlvgdwgpEn,,,,,,,,,,,,
IfcColumn_2CQePLrkXBO93z1TgFze3B,IfcWallStandardCase_2qUzbuhqf6MAkRBLOcP8BP,,,,,,,,,,,,
IfcColumn_2CQePLrkXBO93z1TgFze3B,IfcWallStandardCase_0Tx$k7p_50Y9rIQWNISSu6,,,,,,,,,,,,
IfcColumn_2bubM1ZEP92uDjucevy8Fl,,,,,IfcColumn_1MGG$KIBX1aBsEy673XdPF,,,,,,,,
IfcColumn_2bubM1ZEP92uDjucevy8Fl,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_2bubM1ZEP92uDjucevy8Fl,,,IfcSlab_3EFhplJ99DThWXI3yN3_LX,,,,,,,,,,
IfcColumn_2bubM1ZEP92uDjucevy8Fl,IfcWallStandardCase_2ky_B4v9X8AguM9E8sSVps,,,,,,,,,,,,
IfcColumn_2bubM1ZEP92uDjucevy8Fl,IfcWallStandardCase_27l_PsN2D03w7U_7391eUJ,,,,,,,,,,,,
IfcColumn_3IA_xdz1108eaOu_E_fDPb,,,,,IfcColumn_1CdjCD0PTCi9FA4MecOGCj,,,,,,,,
IfcColumn_3IA_xdz1108eaOu_E_fDPb,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_3IA_xdz1108eaOu_E_fDPb,,,IfcSlab_3EFhplJ99DThWXI3yN3_LX,,,,,,,,,,
IfcColumn_3IA_xdz1108eaOu_E_fDPb,IfcWallStandardCase_0mttVb_GjEJxcK5EVYCBWv,,,,,,,,,,,,
IfcColumn_3IA_xdz1108eaOu_E_fDPb,IfcWallStandardCase_2ky_B4v9X8AguM9E8sSVps,,,,,,,,,,,,
IfcColumn_1m$g7LxrX5UR2jFPTvaJP7,,,,,IfcColumn_3ImGdXCd992h7Lzth4QLlR,,,,,,,,
IfcColumn_1m$g7LxrX5UR2jFPTvaJP7,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_1m$g7LxrX5UR2jFPTvaJP7,IfcWallStandardCase_0073uBlMHCAQ6A4G9NHAeW,,,,,,,,,,,,
IfcColumn_1m$g7LxrX5UR2jFPTvaJP7,IfcWallStandardCase_1IG0benEnD4eOMV5aEVskT,,,,,,,,,,,,
IfcColumn_2DfEf40bf0qfNWX4_dbGj_,,,,,IfcColumn_1dXwPyTRr0GepEaUKHlgG6,,,,,,,,
IfcColumn_2DfEf40bf0qfNWX4_dbGj_,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_2DfEf40bf0qfNWX4_dbGj_,IfcWallStandardCase_1$ftNPU69EQeR4maWrYjwk,,,,,,,,,,,,
IfcColumn_2DfEf40bf0qfNWX4_dbGj_,IfcWallStandardCase_1pfbKQS7DCewuNDWF$a1NI,,,,,,,,,,,,
IfcColumn_2Je6EssPHEuxd$yWyysXwz,,,,,IfcColumn_0SkQ0lWITAzgiQlhXGoKs3,,,,,,,,
IfcColumn_2Je6EssPHEuxd$yWyysXwz,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_2Je6EssPHEuxd$yWyysXwz,IfcWallStandardCase_132tgi3_v1DQ7URGl$Ybke,,,,,,,,,,,,
IfcColumn_2Je6EssPHEuxd$yWyysXwz,IfcWallStandardCase_3FNpZFsknFeeq1gSLnmgJR,,,,,,,,,,,,
IfcColumn_11OGZRkzv0sAHu7DQ7Uxiy,,,,,IfcColumn_0emaXY_75EuBR0n_2no11S,,,,,,,,
IfcColumn_11OGZRkzv0sAHu7DQ7Uxiy,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_11OGZRkzv0sAHu7DQ7Uxiy,IfcWallStandardCase_2$AeRMaaH9BOTgf8tiEMPS,,,,,,,,,,,,
IfcColumn_11OGZRkzv0sAHu7DQ7Uxiy,IfcWallStandardCase_3Mm54$aLb1OencXWRt0o3S,,,,,,,,,,,,
IfcColumn_0KXd$dhx1798QjevS3kokJ,,,,,IfcColumn_2XbmfNQNr1l9EQAIdsCo_$,,,,,,,,
IfcColumn_0KXd$dhx1798QjevS3kokJ,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_3ey666MOzBQvZ3zYoltDUk,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_3ey666MOzBQvZ3zYoltDUk,,,IfcSlab_22zqxcDqH5rx9gjXux81TQ,,,,,,,,,,
