Entity,Wall,Stair,Slab,FurnishingElement,Column,Flowterminal,FlowSegment,FlowFitting,FlowController,DistributionControlElement,Window,Door,IfcWallStandardCase_3_QnWjyCf43uOsOSqFjYHW
IfcSlab_0DZf9RMVP6L9tIFkAqFG_J,IfcWallStandardCase_20$Ct8jzX8EQuatbfLogNS,,,,,,,,,,,,
IfcSlab_0DZf9RMVP6L9tIFkAqFG_J,IfcWallStandardCase_3_QnWjyCf43uOsOSqFjYHW,,,,,,,,,,,,
IfcSlab_0DZf9RMVP6L9tIFkAqFG_J,IfcWallStandardCase_2ngk3stf57Z9BSNr_6LYk_,,,,,,,,,,,,
IfcSlab_0DZf9RMVP6L9tIFkAqFG_J,IfcWallStandardCase_3G_LVG77r2XfH8rK6HfXCn,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,IfcColumn_0AaQubhzz2XeieQO7s6Bh0,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,IfcColumn_11ZT4Rj11FvBXlttpjh_ud,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,IfcColumn_34fD$MaX18Ee8$z_eu6aqN,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,IfcColumn_1tO7SHrxvF2eHo82RmzJVh,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,IfcColumn_20DOVLOvz6YuUZUW0uKLTv,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,IfcColumn_2yS60m_X5Dqhe2bE4aC0lT,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,IfcColumn_04MnLbkcPAz8J4XxnoaZTV,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,IfcColumn_2dc5UIFvX5YRjNbJ7oiao4,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,IfcColumn_0iyUeBFGD0LewDL_C7IyMj,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,,,IfcDoor_00qTD5JRT5$QFr8KlWTxYs,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,,,IfcDoor_0ss67ryQbCv8ct3HWfLGex,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,,,IfcDoor_35ggrgo6r7D8VIs6wRrwEC,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,,,IfcDoor_0TLOMow7XApAFdnB6jLlk5,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,,,IfcDoor_1ehfpJENvFZfoeoqrlVG7m,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,,,IfcDoor_1Tjq3CFLLC4OKoVIqThi4U,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,,,IfcDoor_2eZIaIfZTBN99qWFWDg6RB,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,,,IfcDoor_1ACb3R5zfBPQraJQ4Aj3H2,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,,,IfcDoor_2ndE3vUdfB_AzVxP2Oolt1,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,,,IfcDoor_3S6IUsTY9Dphr7zqFF8CRM,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,,,IfcDoor_16SK9s6h592eO7FbxuZRqC,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,,,IfcDoor_2o9GHS6qz71eZrt9GXDivd,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,,,IfcDoor_1mU2NzwiP0sR3ycyAmfST$,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,,,,,,,,,,IfcDoor_2swFl7AAj2xgwKcf5$PNfs,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,IfcSlab_3kuXv20j9079VgRhGHOOJr,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,IfcSlab_2oXu5Bc_PBlxY2HK8ANHGI,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,IfcSlab_05zp08f4LFWvd17Hv0tVo_,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,IfcSlab_1sZbPpRO15GBifgxssiEyC,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,,,IfcSlab_3Biqf$ztr28gqd$qWB1M9S,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_0ng_oibC53GvTV04FY5ymJ,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_2Kg5VB1lr2yPlyYKp8e78j,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_0jDKIJWhX3Rxj3dumIwNwi,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_2h5oyJRq967xXd7fh8OmK1,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_2NKkHqEg56dx8xyZF7tzNC,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_2sYsP_LR9BUPbiWal1yd0h,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_1C25nKHQPDZg7bU3Za05dK,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_0mTQW4r7v0ixMcksrl4WnG,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_1$wQtbfR13ROA2Degj1gN0,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_0HfTf56Sz4RA7Te2erhoXo,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_33I_UVxyPBleOn3J2q7ugx,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_1eVeWOoCv7Xvmy00H8AQ64,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_3sZc4wJzP5ZwhLWKllhyB9,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_0Ok2sqHUXEygAW_m2DruSh,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_0gyC5DAgPCWwMX8gpOSy3l,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_3HK9S5GxL6SOoc8lFJEm3Q,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_1j3_iwB1HAVxXFexdx5HIu,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_2TdgAelNH4vRi9PjZHz4NP,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_2yjmHZ2TLAbQ4yo4Nbbpnl,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_2TD2bIlaTElQnoF6vRLqxo,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_1cq2QYjlL9CwkR5sZcXAjS,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_2rlK3MMgDCcgZehLVVlhqC,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_2_UhkUik18QQtHaLOTVqby,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_0kADBKaJv4mxCDv3OvI1X0,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_19UmBrn_n0_90OVcs_SWeF,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_0yXsLIJz15hvZ3DI8M_YKm,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_0NQSdJw7P2xeGeN9NttV6$,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_0MLOEO9KP7Px96Jvzb9jPK,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_0FR_yJA7jCsOvyOQpZkbkq,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_17E3QyZ7PFs9T551x2mc7u,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_3tCVU$Edn9TvyHeKEKVLVc,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_1HIR3vfPb8cuxyE6N53Z1B,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_0j7qcBIXvFOQRzfSKpd_q5,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_2aqm0U0in0Nhqqs2ZNx94j,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_0ZAeFCWZj8rv73MECQd0HI,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_2m5nlXEf92eQiJkmNYzqko,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_0wlcwPxt5BPA44e_bv$FEj,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_0nAjAGUBn0SQE3tHBaB8Qd,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_0bojQRQmb9y8lxnwX0Mb6R,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_294N9wuz50KQHzICEsuFz4,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_07Ud6FMuf3GP09bzW3trLK,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_2gcGFNFSj9xO3Fjnq9Ii8z,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_3fqmofZnP1bAB8or0LNZrm,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_2z275USYr2Rf1E4QHO8jHV,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_23_hzK3EX1hf_WkX32fZjF,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_3E9d8o6$rD7Rg9boGepnNS,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_1aZMNsF$H3V8w5ZRD0nr7V,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_2fW8Qa_0zE_PY3gX8Cx1v6,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_3tDqsDTaLF5u1Rusc$3WGr,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_2E_Z16FT1CgRogeUay0YZT,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_3HXYg4FujFnf6BLZMKpGHq,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_0MapUW0vP8ah$BJ8MjcziD,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_2YwBnLl5b4ZBS8PkQ__DSg,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_0Enhgg3Jb7zO$tH$23gDrH,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_3g9NACdBvAnel$pg7n1tu7,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_1KwIk66zDESQMMbvYLz62k,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_1byP_HXQb0zhvYiLeV3XDm,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_2Sn675RS9DofrZ9$1OWxy$,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_1aCre0JOTA2f$HzeW1Qr_9,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_0D2SPAlS9EKwbSifaKjWv1,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_3mBvuSk$b2CO2prI4VjmTa,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_18fY8tB1LBHfAA0aNTnb_v,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_3FukSLpDPEWPSccj8TfChH,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_0jEvmUnFf0xOnZku759Rad,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_0Dn5MbqnvEDBEQcG_VGFjY,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_2tDwZK1k51XPwnE74S5hkd,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_3Y$Rm9PCnFXvvQ2X2jQM9q,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_2ngk3stf57Z9BSNr_6LYk_,,,,,,,,,,,,
IfcSlab_0_8RRP6q53p8DN$dMjNDPZ,IfcWallStandardCase_3G_LVG77r2XfH8rK6HfXCn,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_1RYz7$7IX5DhRPvxYPN6YW,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_0DlKC8gxXBbQMGPZpoUwJI,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_1UKOERdg99fvQEzKPYv5z_,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_2YDgNy51L1ugzL_8ZmITkV,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_2YyPOv42D7Ff5mcgMX1KeS,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_2nmWr2At943AKMXs6axrLf,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_22eNy7$xfBsRCC1gnNv6e1,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_3syblz2Ab4pu8mXA_klt_v,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_0Pj675kXn9Yf2jozhTfFBT,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_2j6O4WAez5HgCirBbgWGVo,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_2d6lCU29H6X9jKpfccN28z,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_2D0i85eSX1Dv9wzKUb5O5O,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_0aH0y2bqT4U8xjOHcXigQC,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_1BCe$qRWvBBxFxdBTxgfFV,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_2CQePLrkXBO93z1TgFze3B,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_2bubM1ZEP92uDjucevy8Fl,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_3IA_xdz1108eaOu_E_fDPb,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_1m$g7LxrX5UR2jFPTvaJP7,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_2DfEf40bf0qfNWX4_dbGj_,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_2Je6EssPHEuxd$yWyysXwz,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_11OGZRkzv0sAHu7DQ7Uxiy,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_0KXd$dhx1798QjevS3kokJ,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_3ey666MOzBQvZ3zYoltDUk,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_24epyq_Nj3DR8P0E_2ooqN,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_3a5F5dpvn2UwgV81zSHAne,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,IfcColumn_2hNexUsPr3bOsF3aPDw_12,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_12vhgOv_r5p9t3kaNcyPAt,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_2jIVXn1TvEWOEBBW$Mcnt9,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_1BKA6o_Hb2WewlCbnfx$$Y,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_2bvWW5C1nBvxG7OqFYmODF,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_2myvWVulb2den6QOLIc$Ie,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_3bgOSeVZ95kBm99ATbdS3o,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_2uxH1BlMrFfROslIZNp8Bt,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_3ezZaJqrjDxxP6r4Qst1H7,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_2ECYFAy4zC5w_tkOCPKTP5,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_3BGPEVfmP4N8csd0Snt39R,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_1FHatJ53D8uvt$JAwcEhfp,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_0OioI5pI58Hv8GsGjHtI0W,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_0hvGStsFr6_x5db3S7ayoX,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_03LX3aSSf6O9_x09hOwf3x,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_3E3bfbQmnBDgCmzoQBoojc,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_29hngPAxL0augOMEtm07gg,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_2qT$72MvX4QwZ6aO5vvgUV,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_1JDn1trwb7mPfADgvJaEg6,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_2ASPcREfT7U9BpqQVzpgkZ,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_3Cm__P03D67udHWjv7nT_5,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_25IZ_qOh56AuqFy1npU8Pm,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_0QYApuEw57WfyHcABIw1yw,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_3E_IqYlRHCBRHpFDu$rOmY,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_0I22OLK4z9fvKgLyWWPiEf,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_2gpEc5bQH3COEHe6NSgTc0,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_0sU8XHgET0wOyxOVoEEx9A,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,,,IfcDoor_00LjXLeAXBNRJq1IXgMDYO,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,IfcSlab_2yi0aQ97H7EPNhkpTfMOWS,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,,IfcStair_0HsvhG5UbFKAmkeLMwTqRr,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWall_2dPdYITkf0bhtlaF5fnDUN,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWall_2BxuYxGAb4RQM0rNNF6tG7,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWall_1k0_XpsR9CIxnjeuDYkKF1,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_0wlcwPxt5BPA44e_bv$FEj,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_0nAjAGUBn0SQE3tHBaB8Qd,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_0bojQRQmb9y8lxnwX0Mb6R,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_07Ud6FMuf3GP09bzW3trLK,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_2gcGFNFSj9xO3Fjnq9Ii8z,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_3fqmofZnP1bAB8or0LNZrm,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_2z275USYr2Rf1E4QHO8jHV,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_23_hzK3EX1hf_WkX32fZjF,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_3E9d8o6$rD7Rg9boGepnNS,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_1aZMNsF$H3V8w5ZRD0nr7V,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_2fW8Qa_0zE_PY3gX8Cx1v6,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_3tDqsDTaLF5u1Rusc$3WGr,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_2E_Z16FT1CgRogeUay0YZT,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_0ksRhdCPr3ERZfyKkgWbhn,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_20$Ct8jzX8EQuatbfLogNS,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_1KwIk66zDESQMMbvYLz62k,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_3_QnWjyCf43uOsOSqFjYHW,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_2Sn675RS9DofrZ9$1OWxy$,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_1aCre0JOTA2f$HzeW1Qr_9,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_0D2SPAlS9EKwbSifaKjWv1,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_3mBvuSk$b2CO2prI4VjmTa,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_18fY8tB1LBHfAA0aNTnb_v,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_3FukSLpDPEWPSccj8TfChH,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_0jEvmUnFf0xOnZku759Rad,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_178iu8LdPFNPNnPMUtkXXP,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_1Tw0qXmZ5ClQcDEY22CPcq,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_2XTLze3XjDH8AlvgdwgpEn,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_1vx5Q7_iD3nA0pMC5I7mb0,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_3j$LTB0TT2E97vSLAEin92,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_3DeOh8UPf4VfOvqETPHTT7,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_342KxKpXL3lfruID7rJz_S,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_0mttVb_GjEJxcK5EVYCBWv,,,,,,,,,,,,
IfcSlab_19rENoCzn3cOO5WkCHbjkC,IfcWallStandardCase_2ky_B4v9X8AguM9E8sSVps,,,,,,,,,,,,
