Entity,Wall,Stair,Slab,FurnishingElement,Column,Flowterminal,FlowSegment,FlowFitting,FlowController,DistributionControlElement,Window
IfcWall_2un$6u9iv7VQfnxEerV95$,IfcWall_2iA_Cg3Y93jBekWsGl7BI5,,,,,,,,,,
IfcWall_2un$6u9iv7VQfnxEerV95$,IfcWall_1NB4858ij0cgkl5wv0z3W2,,,,,,,,,,
IfcWall_2iA_Cg3Y93jBekWsGl7BI5,,,IfcSlab_1S95G$KmD4KuUstGlbafId,,,,,,,,
IfcWall_2iA_Cg3Y93jBekWsGl7BI5,IfcWall_0VHNU8CzX2rfsiwnl8p5XP,,,,,,,,,,
IfcWall_2iA_Cg3Y93jBekWsGl7BI5,IfcWall_2un$6u9iv7VQfnxEerV95$,,,,,,,,,,
IfcWall_2iA_Cg3Y93jBekWsGl7BI5,IfcWall_1NB4858ij0cgkl5wv0z3W2,,,,,,,,,,
IfcWall_1NB4858ij0cgkl5wv0z3W2,IfcWall_2un$6u9iv7VQfnxEerV95$,,,,,,,,,,
IfcWall_1NB4858ij0cgkl5wv0z3W2,IfcWall_2iA_Cg3Y93jBekWsGl7BI5,,,,,,,,,,
IfcWall_1NB4858ij0cgkl5wv0z3W2,IfcWall_1NB4858ij0cgkl5wv0z3dk,,,,,,,,,,
IfcWall_1NB4858ij0cgkl5wv0z3dk,IfcWall_0VHNU8CzX2rfsiwnl8p5zg,,,,,,,,,,
IfcWall_1NB4858ij0cgkl5wv0z3dk,IfcWall_1NB4858ij0cgkl5wv0z3W2,,,,,,,,,,
