,IfcDuctSegment,IfcAirTerminal,IfcBeam,IfcCableCarrierFitting,IfcCableCarrierSegment,IfcDuctFitting,IfcFurniture,IfcStair,IfcDoor,IfcSlab,IfcWall,IfcLamp,IfcRailing,IfcOutlet,IfcPipeFitting,IfcPipeSegment,IfcPlate,IfcSanitaryTerminal,IfcSpaceHeater,IfcValve
IfcDuctSegment,0.5925925925925926,0.037037037037037035,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.018518518518518517,0.018518518518518517,0.0,0.05555555555555555,0.0,0.0
IfcAirTerminal,0.13761467889908258,0.3394495412844037,0.045871559633027525,0.009174311926605505,0.027522935779816515,0.0,0.0,0.0,0.045871559633027525,0.09174311926605505,0.009174311926605505,0.0,0.009174311926605505,0.0,0.0,0.0,0.0,0.28440366972477066,0.0,0.0
IfcBeam,0.02857142857142857,0.0,0.45714285714285713,0.0,0.11428571428571428,0.0,0.0,0.0,0.0,0.11428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.11428571428571428,0.0,0.02857142857142857
IfcCableCarrierFitting,0.16363636363636364,0.05454545454545454,0.03636363636363636,0.16363636363636364,0.01818181818181818,0.03636363636363636,0.0,0.0,0.03636363636363636,0.05454545454545454,0.0,0.0,0.03636363636363636,0.0,0.23636363636363636,0.0,0.0,0.16363636363636364,0.0,0.0
IfcCableCarrierSegment,0.06306306306306306,0.0,0.009009009009009009,0.009009009009009009,0.6936936936936937,0.0,0.0,0.0,0.018018018018018018,0.1891891891891892,0.0,0.0,0.0,0.0,0.0,0.0,0.018018018018018018,0.0,0.0,0.0
IfcDuctFitting,0.13793103448275862,0.034482758620689655,0.0,0.05172413793103448,0.0,0.3103448275862069,0.0,0.0,0.0,0.017241379310344827,0.05172413793103448,0.0,0.0,0.0,0.06896551724137931,0.0,0.06896551724137931,0.25862068965517243,0.0,0.0
IfcFurniture,0.0,0.08571428571428572,0.0,0.0,0.02857142857142857,0.0,0.02857142857142857,0.0,0.05714285714285714,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.7714285714285715,0.0,0.0
IfcStair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0
IfcDoor,0.0,0.0,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.9316239316239316,0.0,0.004273504273504274,0.0,0.004273504273504274,0.0,0.0,0.0,0.02564102564102564,0.029914529914529916,0.0,0.0
IfcSlab,0.009107468123861567,0.0018214936247723133,0.0,0.0,0.03642987249544627,0.0,0.0,0.0,0.0,0.9180327868852459,0.0,0.0,0.0018214936247723133,0.0,0.0,0.0,0.0273224043715847,0.00546448087431694,0.0,0.0
IfcWall,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.125,0.0,0.35,0.0,0.025,0.0,0.0,0.0,0.425,0.025,0.0,0.0
IfcLamp,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
IfcRailing,0.0,0.0,0.04411764705882353,0.029411764705882353,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.6176470588235294,0.0,0.0,0.0,0.029411764705882353,0.14705882352941177,0.0,0.014705882352941176
IfcOutlet,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
IfcPipeFitting,0.08791208791208792,0.0,0.0,0.06593406593406594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6483516483516484,0.0,0.0,0.1978021978021978,0.0,0.0
IfcPipeSegment,0.34375,0.0,0.0,0.015625,0.296875,0.0,0.0,0.0,0.015625,0.03125,0.046875,0.0,0.0,0.0,0.171875,0.046875,0.03125,0.0,0.0,0.0
IfcPlate,0.0,0.0,0.0,0.0,0.023715415019762844,0.0,0.0,0.0,0.03162055335968379,0.22134387351778656,0.04743083003952569,0.0,0.0,0.0,0.0,0.0,0.6719367588932806,0.003952569169960474,0.0,0.0
IfcSanitaryTerminal,0.022857142857142857,0.0,0.0038095238095238095,0.0,0.013333333333333334,0.0,0.0,0.0,0.011428571428571429,0.007619047619047619,0.0,0.0,0.0038095238095238095,0.0,0.011428571428571429,0.0,0.005714285714285714,0.9104761904761904,0.0,0.009523809523809525
IfcSpaceHeater,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.03571428571428571,0.2857142857142857,0.0,0.0,0.17857142857142858,0.0,0.0,0.0,0.07142857142857142,0.39285714285714285,0.0,0.0
IfcValve,0.023255813953488372,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.11627906976744186,0.0,0.0,0.7209302325581395,0.0,0.09302325581395349
