,precision,recall,f1-score,support,acc
0,,,,,0.5925925925925926
1,,,,,0.3394495412844037
2,,,,,0.45714285714285713
3,,,,,0.16363636363636364
4,,,,,0.6936936936936937
5,,,,,0.3103448275862069
6,,,,,0.02857142857142857
7,,,,,0.0
8,,,,,0.9316239316239316
9,,,,,0.9180327868852459
10,,,,,0.35
11,,,,,0.1
12,,,,,0.6176470588235294
13,,,,,0.0
14,,,,,0.6483516483516484
15,,,,,0.046875
16,,,,,0.6719367588932806
17,,,,,0.9104761904761904
18,,,,,0.0
19,,,,,0.09302325581395349
IfcAirTerminal,0.7708333333333334,0.3394495412844037,0.4713375796178344,109.0,
IfcBeam,0.5161290322580645,0.45714285714285713,0.4848484848484849,35.0,
IfcCableCarrierFitting,0.391304347826087,0.16363636363636364,0.23076923076923078,55.0,
IfcCableCarrierSegment,0.5032679738562091,0.6936936936936937,0.5833333333333334,111.0,
IfcDoor,0.8384615384615385,0.9316239316239316,0.882591093117409,234.0,
IfcDuctFitting,0.8571428571428571,0.3103448275862069,0.45569620253164556,58.0,
IfcDuctSegment,0.2644628099173554,0.5925925925925926,0.3657142857142857,54.0,
IfcFurniture,1.0,0.02857142857142857,0.05555555555555556,35.0,
IfcLamp,1.0,0.1,0.18181818181818182,10.0,
IfcOutlet,0.0,0.0,0.0,5.0,
IfcPipeFitting,0.5959595959595959,0.6483516483516484,0.6210526315789473,91.0,
IfcPipeSegment,0.75,0.046875,0.08823529411764706,64.0,
IfcPlate,0.7456140350877193,0.6719367588932806,0.7068607068607068,253.0,
IfcRailing,0.7368421052631579,0.6176470588235294,0.6719999999999999,68.0,
IfcSanitaryTerminal,0.7155688622754491,0.9104761904761904,0.801341156747695,525.0,
IfcSlab,0.8181818181818182,0.9180327868852459,0.865236051502146,549.0,
IfcSpaceHeater,0.0,0.0,0.0,28.0,
IfcStair,0.0,0.0,0.0,12.0,
IfcValve,0.36363636363636365,0.09302325581395349,0.14814814814814814,43.0,
IfcWall,0.3783783783783784,0.35,0.36363636363636365,40.0,
accuracy,0.7074401008827238,0.7074401008827238,0.7074401008827238,0.7074401008827238,
macro avg,0.5622891525788963,0.3936698967687663,0.3989087149948807,2379.0,
weighted avg,0.7067129121715011,0.7074401008827238,0.6748990440033085,2379.0,
