,precision,recall,f1-score,support,acc
0,,,,,0.0547945205479452
1,,,,,0.23140495867768596
2,,,,,0.10526315789473684
3,,,,,0.0
4,,,,,0.6237623762376238
5,,,,,0.015384615384615385
6,,,,,0.0
7,,,,,0.0
8,,,,,0.9642857142857143
9,,,,,0.9497307001795332
10,,,,,0.01639344262295082
11,,,,,0.0
12,,,,,0.30612244897959184
13,,,,,0.0
14,,,,,0.7831325301204819
15,,,,,0.21951219512195122
16,,,,,0.6043478260869565
17,,,,,0.8396946564885496
18,,,,,0.0
19,,,,,0.0
IfcAirTerminal,0.6086956521739131,0.23140495867768596,0.3353293413173653,121.0,
IfcBeam,0.3333333333333333,0.10526315789473684,0.16,19.0,
IfcCableCarrierFitting,0.0,0.0,0.0,69.0,
IfcCableCarrierSegment,0.5779816513761468,0.6237623762376238,0.6,101.0,
IfcDoor,0.8404669260700389,0.9642857142857143,0.8981288981288982,224.0,
IfcDuctFitting,0.3333333333333333,0.015384615384615385,0.029411764705882356,65.0,
IfcDuctSegment,0.26666666666666666,0.0547945205479452,0.09090909090909091,73.0,
IfcFurniture,0.0,0.0,0.0,22.0,
IfcLamp,0.0,0.0,0.0,6.0,
IfcOutlet,0.0,0.0,0.0,9.0,
IfcPipeFitting,0.23297491039426524,0.7831325301204819,0.3591160220994475,83.0,
IfcPipeSegment,0.3829787234042553,0.21951219512195122,0.2790697674418605,82.0,
IfcPlate,0.6682692307692307,0.6043478260869565,0.6347031963470319,230.0,
IfcRailing,0.4166666666666667,0.30612244897959184,0.35294117647058826,49.0,
IfcSanitaryTerminal,0.6330935251798561,0.8396946564885496,0.7219031993437243,524.0,
IfcSlab,0.7860326894502229,0.9497307001795332,0.8601626016260163,557.0,
IfcSpaceHeater,0.0,0.0,0.0,27.0,
IfcStair,0.0,0.0,0.0,19.0,
IfcValve,0.0,0.0,0.0,38.0,
IfcWall,0.2,0.01639344262295082,0.030303030303030307,61.0,
accuracy,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,
macro avg,0.3140246654408964,0.2856914571314168,0.2675989044346468,2379.0,
weighted avg,0.5777135589120936,0.639344262295082,0.5839202966810302,2379.0,
