,batch_size,dataset_name,knn,learning_rate,mesh,model_name,n_epochs,node_translation,rotation,samplePoints,test_acc,epoch_test,mean_epoch_time,num_trainable_parameter,num_pos,num_edge
0,30,BIMGEOMV1,5,0.001,False,GCNPool,180,0.0,"[0, 0, 0]",1024,0.7670761670761671,111,14.950610156853994,48205,1024,5120
1,30,BIMGEOMV1,5,0.001,False,GCNCat,180,0.0,"[0, 0, 0]",1024,0.8211302211302212,149,11.740382300482857,65357,1024,5120
2,30,BIMGEOMV1,5,0.001,False,GCNCat,180,0.0,"[0, 0, 0]",1024,0.7955773955773956,126,12.386391882101695,65357,1024,5120
