,IfcDistributionControlElement,IfcFlowController,IfcFlowFitting,IfcFlowSegment,IfcFlowTerminal,IfcColumn,IfcFurnishingElement,IfcStair,IfcDoor,IfcSlab,IfcWall,IfcWindow,IfcRailing
IfcDistributionControlElement,113,11,26,2,10,0,2,0,0,1,1,4,0
IfcFlowController,2,107,9,3,18,0,4,0,0,0,0,0,3
IfcFlowFitting,8,16,90,2,12,1,10,0,0,0,3,1,0
IfcFlowSegment,3,4,1,133,0,8,8,0,0,0,0,0,3
IfcFlowTerminal,1,3,7,0,98,1,13,0,1,0,2,19,3
IfcColumn,0,0,0,1,0,162,1,0,0,0,0,1,2
IfcFurnishingElement,18,2,1,1,10,11,95,3,0,3,3,4,6
IfcStair,0,0,1,0,1,0,0,142,0,1,0,1,12
IfcDoor,0,1,0,0,0,0,0,0,140,0,3,8,0
IfcSlab,1,0,1,1,3,0,6,6,0,125,1,0,4
IfcWall,0,0,3,4,3,14,0,1,4,0,129,3,2
IfcWindow,0,0,1,0,2,0,2,0,7,0,1,154,5
IfcRailing,0,0,0,0,1,1,2,3,2,0,5,6,131
