,IfcDistributionControlElement,IfcFlowController,IfcFlowFitting,IfcFlowSegment,IfcFlowTerminal,IfcColumn,IfcFurnishingElement,IfcStair,IfcDoor,IfcSlab,IfcWall,IfcWindow,IfcRailing
IfcDistributionControlElement,0.6647058823529411,0.06470588235294118,0.15294117647058825,0.011764705882352941,0.058823529411764705,0.0,0.011764705882352941,0.0,0.0,0.0058823529411764705,0.0058823529411764705,0.023529411764705882,0.0
IfcFlowController,0.0136986301369863,0.7328767123287672,0.06164383561643835,0.02054794520547945,0.1232876712328767,0.0,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0.02054794520547945
IfcFlowFitting,0.055944055944055944,0.11188811188811189,0.6293706293706294,0.013986013986013986,0.08391608391608392,0.006993006993006993,0.06993006993006994,0.0,0.0,0.0,0.02097902097902098,0.006993006993006993,0.0
IfcFlowSegment,0.01875,0.025,0.00625,0.83125,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.01875
IfcFlowTerminal,0.006756756756756757,0.02027027027027027,0.0472972972972973,0.0,0.6621621621621622,0.006756756756756757,0.08783783783783784,0.0,0.006756756756756757,0.0,0.013513513513513514,0.12837837837837837,0.02027027027027027
IfcColumn,0.0,0.0,0.0,0.005988023952095809,0.0,0.9700598802395209,0.005988023952095809,0.0,0.0,0.0,0.0,0.005988023952095809,0.011976047904191617
IfcFurnishingElement,0.11464968152866242,0.012738853503184714,0.006369426751592357,0.006369426751592357,0.06369426751592357,0.07006369426751592,0.6050955414012739,0.01910828025477707,0.0,0.01910828025477707,0.01910828025477707,0.025477707006369428,0.03821656050955414
IfcStair,0.0,0.0,0.006329113924050633,0.0,0.006329113924050633,0.0,0.0,0.8987341772151899,0.0,0.006329113924050633,0.0,0.006329113924050633,0.0759493670886076
IfcDoor,0.0,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.9210526315789473,0.0,0.019736842105263157,0.05263157894736842,0.0
IfcSlab,0.006756756756756757,0.0,0.006756756756756757,0.006756756756756757,0.02027027027027027,0.0,0.04054054054054054,0.04054054054054054,0.0,0.8445945945945946,0.006756756756756757,0.0,0.02702702702702703
IfcWall,0.0,0.0,0.018404907975460124,0.024539877300613498,0.018404907975460124,0.08588957055214724,0.0,0.006134969325153374,0.024539877300613498,0.0,0.7914110429447853,0.018404907975460124,0.012269938650306749
IfcWindow,0.0,0.0,0.005813953488372093,0.0,0.011627906976744186,0.0,0.011627906976744186,0.0,0.040697674418604654,0.0,0.005813953488372093,0.8953488372093024,0.029069767441860465
IfcRailing,0.0,0.0,0.0,0.0,0.006622516556291391,0.006622516556291391,0.013245033112582781,0.019867549668874173,0.013245033112582781,0.0,0.033112582781456956,0.039735099337748346,0.8675496688741722
