,precision,recall,f1-score,support,acc
0,,,,,0.632258064516129
1,,,,,0.930635838150289
2,,,,,0.1510791366906475
3,,,,,0.30538922155688625
4,,,,,0.18181818181818182
5,,,,,0.9583333333333334
6,,,,,0.24836601307189543
7,,,,,0.8363636363636363
8,,,,,0.7834394904458599
9,,,,,0.8827160493827161
10,,,,,0.8269230769230769
11,,,,,0.6129032258064516
12,,,,,0.8472222222222222
IfcColumn,0.7040816326530612,0.9583333333333334,0.8117647058823529,144.0,
IfcDistributionControlElement,0.620253164556962,0.632258064516129,0.6261980830670927,155.0,
IfcDoor,0.8848920863309353,0.7834394904458599,0.8310810810810811,157.0,
IfcFlowController,0.5176848874598071,0.930635838150289,0.6652892561983471,173.0,
IfcFlowFitting,0.39622641509433965,0.1510791366906475,0.21874999999999997,139.0,
IfcFlowSegment,0.6219512195121951,0.30538922155688625,0.4096385542168675,167.0,
IfcFlowTerminal,0.5357142857142857,0.18181818181818182,0.2714932126696833,165.0,
IfcFurnishingElement,0.5277777777777778,0.24836601307189543,0.3377777777777778,153.0,
IfcRailing,0.49795918367346936,0.8472222222222222,0.6272493573264781,144.0,
IfcSlab,0.7371134020618557,0.8827160493827161,0.8033707865168541,162.0,
IfcStair,0.575,0.8363636363636363,0.6814814814814815,165.0,
IfcWall,0.75,0.8269230769230769,0.7865853658536586,156.0,
IfcWindow,0.811965811965812,0.6129032258064516,0.6985294117647058,155.0,
accuracy,0.6324324324324324,0.6324324324324324,0.6324324324324324,0.6324324324324324,
macro avg,0.6292784512923463,0.6305728838677942,0.5976314672181832,2035.0,
weighted avg,0.6304407447813668,0.6324324324324324,0.5988774719563167,2035.0,
