,IfcDistributionControlElement,IfcFlowController,IfcFlowFitting,IfcFlowSegment,IfcFlowTerminal,IfcColumn,IfcFurnishingElement,IfcStair,IfcDoor,IfcSlab,IfcWall,IfcWindow,IfcRailing
IfcDistributionControlElement,0.6,0.06060606060606061,0.11515151515151516,0.07272727272727272,0.048484848484848485,0.0,0.07272727272727272,0.0,0.0,0.024242424242424242,0.006060606060606061,0.0,0.0
IfcFlowController,0.012345679012345678,0.7222222222222222,0.06172839506172839,0.07407407407407407,0.08024691358024691,0.0,0.024691358024691357,0.0,0.0,0.0,0.0,0.0,0.024691358024691357
IfcFlowFitting,0.0547945205479452,0.136986301369863,0.5068493150684932,0.136986301369863,0.03424657534246575,0.0,0.08904109589041095,0.00684931506849315,0.0,0.0136986301369863,0.0,0.0,0.02054794520547945
IfcFlowSegment,0.018518518518518517,0.037037037037037035,0.043209876543209874,0.8024691358024691,0.012345679012345678,0.043209876543209874,0.024691358024691357,0.0,0.0,0.006172839506172839,0.0,0.0,0.012345679012345678
IfcFlowTerminal,0.024242424242424242,0.04242424242424243,0.048484848484848485,0.012121212121212121,0.6545454545454545,0.0,0.10303030303030303,0.0,0.01818181818181818,0.024242424242424242,0.0,0.012121212121212121,0.06060606060606061
IfcColumn,0.0,0.006756756756756757,0.0,0.08783783783783784,0.0,0.8783783783783784,0.0,0.0,0.0,0.0,0.0,0.006756756756756757,0.02027027027027027
IfcFurnishingElement,0.11627906976744186,0.05232558139534884,0.023255813953488372,0.01744186046511628,0.01744186046511628,0.005813953488372093,0.6511627906976745,0.005813953488372093,0.011627906976744186,0.005813953488372093,0.01744186046511628,0.040697674418604654,0.03488372093023256
IfcStair,0.0,0.0,0.0,0.0,0.0064516129032258064,0.0,0.0064516129032258064,0.967741935483871,0.0,0.0,0.0,0.0,0.01935483870967742
IfcDoor,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.006097560975609756,0.0,0.8292682926829268,0.0,0.018292682926829267,0.0975609756097561,0.042682926829268296
IfcSlab,0.0,0.0,0.02702702702702703,0.02027027027027027,0.006756756756756757,0.0,0.0472972972972973,0.013513513513513514,0.0,0.8648648648648649,0.013513513513513514,0.0,0.006756756756756757
IfcWall,0.007042253521126761,0.0,0.028169014084507043,0.028169014084507043,0.014084507042253521,0.07042253521126761,0.0,0.0,0.007042253521126761,0.0,0.8309859154929577,0.0,0.014084507042253521
IfcWindow,0.0,0.0,0.0,0.0,0.0070921985815602835,0.0,0.03546099290780142,0.0,0.06382978723404255,0.0070921985815602835,0.028368794326241134,0.7730496453900709,0.0851063829787234
IfcRailing,0.0,0.0,0.0,0.006060606060606061,0.012121212121212121,0.0,0.024242424242424242,0.006060606060606061,0.012121212121212121,0.0,0.012121212121212121,0.01818181818181818,0.9090909090909091
